serotype,total_inv_var,pooled_logRR,se_logRR,lci_logRR,uci_logRR,Comparison
9V,2910.4540380485305,0.08144889340817558,0.01853615393181966,0.04511803170180905,0.11777975511454211,PCV20 vs PCV13
14,4334.7863925312395,0.051911646779016773,0.015188544198096923,0.022142100150746805,0.08168119340728675,PCV20 vs PCV13
18C,2159.9553678114257,0.09437810165265431,0.02151679644806841,0.05220518061444023,0.13655102269086838,PCV20 vs PCV13
19F,5267.486903253348,0.055435417096632085,0.013778383476545218,0.028429785482603456,0.08244104871066071,PCV20 vs PCV13
23F,1106.3327877016204,0.1533711571226472,0.030064716174491912,0.09444431342064305,0.21229800082465136,PCV20 vs PCV13
1,1976.4500104936687,0.1012046221325442,0.022493502365311526,0.05711735749653361,0.1452918867685548,PCV20 vs PCV13
3,2618.2436870513743,0.10404715037691863,0.019543168093494837,0.06574254091366874,0.1423517598401685,PCV20 vs PCV13
5,1959.895475927443,0.09743705067151302,0.022588299881961416,0.053163982902868646,0.1417101184401574,PCV20 vs PCV13
6A,3907.4688216253217,0.08886988825072274,0.015997504437292153,0.05751477955363012,0.12022499694781535,PCV20 vs PCV13
7F,2806.5689352253385,0.09777176168139527,0.018876094507202422,0.06077461644727852,0.13476890691551202,PCV20 vs PCV13
19A,7103.865099710569,0.0477900507532733,0.01186458759780005,0.0245354590615852,0.07104464244496139,PCV20 vs PCV13
