st,serotype,study_id,logRR,logRR_lci,logRR_uci,sd_logRR,Comparison
6,19F,NCT00452790,-0.11369882911617823,-0.22678783108497289,-0.035402386661065245,0.049264017800167655,PCV13 vs PCV7
6,19F,NCT00366678,-0.06712471393358532,-0.16678886998277137,-0.001262921280211517,0.04267513881199121,PCV13 vs PCV7
7,23F,NCT00688870,0.11267046826796712,0.019945311513766086,0.2757667404816258,0.06340040065007606,PCV13 vs PCV7
7,23F,NCT00689351,-0.013524767929320003,-0.13071742629002855,0.08520553403815653,0.052160380764869986,PCV13 vs PCV7
7,23F,NCT00366899,0.10663690668653958,0.03989740602818399,0.23064171684586965,0.047911571846741906,PCV13 vs PCV7
7,23F,NCT00452790,0.06576614904137879,0.005921487944772031,0.16897778892577142,0.04159349469733175,PCV13 vs PCV7
7,23F,NCT00366678,0.06261743985446655,5.479917162033894e-4,0.1638869002904066,0.041805754078066554,PCV13 vs PCV7
8,1,NCT00688870,-1.5082657357210607,-2.4714787852269744,-0.10637114991796717,0.5821849142203908,PCV13 vs PCV7
8,1,NCT00689351,-1.48320516534281,-2.4276054064177988,-0.10592469158858732,0.5721592849466678,PCV13 vs PCV7
8,1,NCT00366899,-1.429913948457283,-2.340216642065392,-0.10000223148170462,0.5509673059631223,PCV13 vs PCV7
8,1,NCT00452790,-1.321327027469673,-2.160119220822929,-0.09219211669636923,0.5079856239237917,PCV13 vs PCV7
8,1,NCT00366678,-1.6428246799855137,-2.6678872554544757,-0.11726326488366577,0.6308669111838636,PCV13 vs PCV7
9,3,NCT00688870,-0.67088380130668,-1.073878178941804,-0.2458485345805285,0.20919124110069945,PCV13 vs PCV7
9,3,NCT00689351,-0.7955428000150424,-1.2585739580888984,-0.2856175724055934,0.24097191014853267,PCV13 vs PCV7
9,3,NCT00366899,-0.8125667663169076,-1.2775758711660279,-0.2905787840525915,0.24421092491209284,PCV13 vs PCV7
9,3,NCT00452790,-0.6587148568210934,-1.0334787513964725,-0.23768377120257508,0.1983167236057725,PCV13 vs PCV7
9,3,NCT00366678,-0.6551459837152369,-1.0291785996199279,-0.23636357379115083,0.19607488732246905,PCV13 vs PCV7
10,5,NCT00688870,-0.4567673570889097,-0.8560797518398511,-0.08779494481593227,0.18360150013975643,PCV13 vs PCV7
10,5,NCT00689351,-0.5593958143318498,-1.043294415736669,-0.10981322787142578,0.22408782953252274,PCV13 vs PCV7
10,5,NCT00366899,-0.541385807817389,-0.9990080127959982,-0.10357726826883264,0.21298557635974558,PCV13 vs PCV7
10,5,NCT00452790,-0.5020700332144177,-0.9254130749583233,-0.09751991326246244,0.1989545084391107,PCV13 vs PCV7
10,5,NCT00366678,-0.5513456223493591,-1.0193223614132851,-0.10735684269725916,0.21823409480097686,PCV13 vs PCV7
11,6A,NCT00688870,-0.31198129517601925,-0.508877121002998,-0.13480202379410564,0.09342052199528836,PCV13 vs PCV7
11,6A,NCT00689351,-0.39806343474277317,-0.6309851644254516,-0.1738345263837613,0.11439960461339882,PCV13 vs PCV7
11,6A,NCT00366899,-0.4452986407363071,-0.6740005645996763,-0.19528553689937267,0.1201664022950805,PCV13 vs PCV7
11,6A,NCT00452790,-0.41732519706379945,-0.6441393312146565,-0.18883019710846613,0.11429442940928237,PCV13 vs PCV7
11,6A,NCT00366678,-0.39749708378607274,-0.6084526557815817,-0.17584311531976976,0.11005751122080122,PCV13 vs PCV7
12,7F,NCT00688870,-1.375299235996704,-2.384305568191835,-0.5535973244087506,0.44867035005550826,PCV13 vs PCV7
12,7F,NCT00689351,-1.418377250819518,-2.4438204807428727,-0.5724589987509524,0.4624653850022639,PCV13 vs PCV7
12,7F,NCT00366899,-1.4032361150170858,-2.4191529512243513,-0.5719965945477643,0.4551966502158145,PCV13 vs PCV7
12,7F,NCT00452790,-1.3144559537767684,-2.259931777862433,-0.5350110863662615,0.4284668257877795,PCV13 vs PCV7
12,7F,NCT00366678,-1.134680583989336,-2.082532000001044,-0.4263207291280968,0.41754802046190087,PCV13 vs PCV7
13,19A,NCT00688870,-0.4253837685788533,-0.6382343296815816,-0.2113125435099956,0.11018475018989156,PCV13 vs PCV7
13,19A,NCT00689351,-0.410897101388096,-0.6237535087499138,-0.20078202622017724,0.10744012939132465,PCV13 vs PCV7
13,19A,NCT00366899,-0.23777695067482307,-0.3616391364591862,-0.11686128234731809,0.062101973505487365,PCV13 vs PCV7
13,19A,NCT00452790,-0.39256433653511325,-0.5861931821863235,-0.1941902856529602,0.10038253147875931,PCV13 vs PCV7
13,19A,NCT00366678,-0.24563110904621777,-0.3712742623172211,-0.11942063710866717,0.06388221507883816,PCV13 vs PCV7
2,6B,NCT03896477,-0.06316637069867426,-0.14891969837618413,-0.009482369545429421,0.03572793305253477,PCV13 vs PCV10
3,9V,NCT03896477,-0.02895549597752467,-0.09267148906166806,0.015136208104206128,0.027789205607612364,PCV13 vs PCV10
4,14,NCT03896477,-0.03148334784412876,-0.11857660185091376,0.03581013482146911,0.03921085695369981,PCV13 vs PCV10
6,19F,NCT03896477,-0.08615027657049712,-0.17313910057056134,-0.02543854342746566,0.038458477972484105,PCV13 vs PCV10
7,23F,NCT03896477,-3.2891176475580153e-4,-0.06952289130632268,0.06882969972919979,0.03428286257096169,PCV13 vs PCV10
