st,serotype,study_id,logRR,logRR_lci,logRR_uci,sd_logRR,Comparison
4,14,CTRI/2023/09/057894,0.029433617944721657,-0.05499313121723757,0.13945069435233468,0.04984371236092309,PCV14 vs PCV13
5,18C,CTRI/2022/11/047366,-0.013414532292029158,-0.17352182125030577,0.0332243471501268,0.054440785583296535,PCV14 vs PCV13
5,18C,CTRI/2023/09/057894,-0.013861491196629938,-0.1288760652356769,0.03897722573177692,0.0422263446792338,PCV14 vs PCV13
6,19F,CTRI/2022/11/047366,-0.039042338536224186,-0.17085855653295012,0.055267974587958346,0.056664589193670005,PCV14 vs PCV13
6,19F,CTRI/2023/09/057894,-0.05608721677235984,-0.1857949701010462,0.020918741777230673,0.05281273962730414,PCV14 vs PCV13
7,23F,CTRI/2022/11/047366,0.020261120153377554,-0.06875624887902561,0.1809186433546739,0.0618909945714457,PCV14 vs PCV13
7,23F,CTRI/2023/09/057894,0,-0.09796225844618363,0.12396401815417403,0.052122567257530075,PCV14 vs PCV13
8,1,CTRI/2022/11/047366,0.0710442259025168,0,0.2294458815348646,0.06504107181910841,PCV14 vs PCV13
8,1,CTRI/2023/09/057894,-0.04630413471365058,-0.1743735179349615,0.004502224985741242,0.052918984544710786,PCV14 vs PCV13
9,3,CTRI/2022/11/047366,-0.02203429833089432,-0.17618830567597338,0,0.05512999548812917,PCV14 vs PCV13
9,3,CTRI/2023/09/057894,-0.06456669594734432,-0.22939321693808884,0,0.07299570165469157,PCV14 vs PCV13
10,5,CTRI/2022/11/047366,0.031023012209007383,-0.013822117526713536,0.20819683891077245,0.06535753057956083,PCV14 vs PCV13
10,5,CTRI/2023/09/057894,-0.06919010831879469,-0.2513105356350457,0,0.07875879290490972,PCV14 vs PCV13
12,7F,CTRI/2022/11/047366,0.008256898230111442,-0.08071442674988077,0.14690280346799098,0.05755144298766166,PCV14 vs PCV13
12,7F,CTRI/2023/09/057894,-0.03213313762511305,-0.1562027914431208,0.01771941375864009,0.049328815346456334,PCV14 vs PCV13
13,19A,CTRI/2022/11/047366,0.017704224153032744,-0.08234229619663692,0.1485604808985323,0.05682205182211028,PCV14 vs PCV13
13,19A,CTRI/2023/09/057894,-0.04763524763255034,-0.17957427619226982,0.027209299405055856,0.052166431339107026,PCV14 vs PCV13
1,4,NCT01215188,0.022607015203051528,0,0.1392125608627616,0.044037054998284565,PCV15 vs PCV13
1,4,NCT02037984,0,-0.14732927399109477,0.19948169246868375,0.08231839922937807,PCV15 vs PCV13
1,4,NCT02531373,-0.0224677174525425,-0.23784557012619836,0.007446972543045592,0.07643067134525333,PCV15 vs PCV13
1,4,NCT03620162,0.0021205612352508396,-0.027485714502294197,0.14353342551478362,0.04682172455477762,PCV15 vs PCV13
1,4,NCT03692871,0,-0.1461824502409604,0.19166075252712297,0.07920480058420891,PCV15 vs PCV13
1,4,NCT03885934,0.17215133086074585,0,0.480896422588724,0.13876820944754129,PCV15 vs PCV13
1,4,NCT03893448,0.061377667001681235,0,0.1949956617190004,0.06301047305980227,PCV15 vs PCV13
1,4,NCT04016714,0.0934216779632262,0,0.2628549809439479,0.08365985639854576,PCV15 vs PCV13
1,4,NCT04384107,0.01843422502214498,-0.027591174976584476,0.1263981143915962,0.040628867845573034,PCV15 vs PCV13
1,4,NCT02987972_lot1,0.018254417087316455,-0.007870865630272658,0.125906756769677,0.03968431385043608,PCV15 vs PCV13
1,4,NCT02987972_lot2,0.04866008944684852,0,0.1793536199484806,0.056933105432179325,PCV15 vs PCV13
2,6B,NCT01215188,0.014244526707667848,-0.04800378478858764,0.10187883329143235,0.03714252233056549,PCV15 vs PCV13
2,6B,NCT02037984,0.17138038336472672,-0.009638363806228265,0.4791223925500343,0.1296075389992618,PCV15 vs PCV13
2,6B,NCT02531373,0,-0.27698547032907,0.17716731477221906,0.1037124682806489,PCV15 vs PCV13
2,6B,NCT03620162,0.014667626392466993,-0.058653300180911964,0.11598078749164852,0.04348434331833819,PCV15 vs PCV13
2,6B,NCT03692871,0,-0.21443349695215264,0.22841003874154095,0.1072614302965427,PCV15 vs PCV13
2,6B,NCT03885934,0.0927761726357561,-0.008066304151871881,0.30528106284413326,0.09008584580235623,PCV15 vs PCV13
2,6B,NCT03893448,0.11432853354843564,0,0.2382937640621838,0.05982672230643893,PCV15 vs PCV13
