serotype,total_inv_var,pooled_logRR,se_logRR,lci_logRR,uci_logRR,Comparison
4,363.303559780303,0.00918191145140708,0.05246445591731844,-0.09364842214653706,0.11201224504935121,PCV20 vs PCV13
6B,280.0448102531306,0,0.05975664903199648,-0.11712303210271309,0.11712303210271309,PCV20 vs PCV13
9V,1837.9652018885508,0,0.023325521253763363,-0.04571802165737619,0.04571802165737619,PCV20 vs PCV13
14,1098.7672960032987,0.024510077220610514,0.030168042953971262,-0.03461928696917316,0.08363944141039419,PCV20 vs PCV13
18C,341.28409464091214,0.03625646930811075,0.054130492146851034,-0.06983929529971727,0.14235223391593876,PCV20 vs PCV13
19F,3449.793015886854,0,0.017025641352875587,-0.033370257051636154,0.033370257051636154,PCV20 vs PCV13
23F,464.97051086681023,0.010903365178984449,0.04637536010381625,-0.0799923406244954,0.1017990709824643,PCV20 vs PCV13
1,229.281266285954,0.011275057667041025,0.06604131529597401,-0.11816592031306804,0.14071603564715007,PCV20 vs PCV13
3,1906.690054834214,0,0.02290129016156456,-0.04488652871666654,0.04488652871666654,PCV20 vs PCV13
5,597.8126043347668,0,0.04089944985175973,-0.08016292170944907,0.08016292170944907,PCV20 vs PCV13
6A,296.98317156986826,0.11720477592684109,0.05802752930182453,0.00347081849526501,0.23093873335841716,PCV20 vs PCV13
7F,480.7821212860359,0.02626512265634909,0.04560640560232041,-0.06312343232419891,0.11565367763689709,PCV20 vs PCV13
19A,7230.631464055526,4.213798946298143e-5,0.011760123611524339,-0.02300770428912472,0.023091980268050684,PCV20 vs PCV13
