serotype,total_inv_var,pooled_logRR,se_logRR,lci_logRR,uci_logRR,Comparison
6B,1958.3122210146782,0.032807095746263,0.022597429123682206,-0.011483865336154128,0.07709805682868012,PCV15 vs PCV13
9V,36898.88076565646,0,0.005205871014631187,-0.010203507188677127,0.010203507188677127,PCV15 vs PCV13
14,1167.2078419252846,0.060646554277158385,0.029270214268772042,0.00327693431036518,0.11801617424395158,PCV15 vs PCV13
18C,5043.887696319963,0.002103370422078173,0.014080474676292854,-0.02549435994345582,0.029701100787612164,PCV15 vs PCV13
19F,10294.922372813762,8.418084958118421e-4,0.00985572238615756,-0.018475407381056973,0.020159024372680658,PCV15 vs PCV13
23F,4712.3074087742625,0.002044987916332236,0.014567438489863081,-0.0265071915237994,0.030597167356463874,PCV15 vs PCV13
1,684.5456894245931,0.014286919125934001,0.03822071260378204,-0.0606256775774788,0.08919951582934679,PCV15 vs PCV13
3,1459.6214165055228,0,0.02617458993436848,-0.05130219627136222,0.05130219627136222,PCV15 vs PCV13
5,2883.5539338858866,0,0.018622413281126158,-0.036499930031007266,0.036499930031007266,PCV15 vs PCV13
6A,369.4749875536678,0.2220823712711196,0.05202444770529165,0.12011445376874796,0.32405028877349124,PCV15 vs PCV13
7F,1001.7446258540502,0.03862751496208939,0.03159522768654179,-0.02329913130353252,0.1005541612277113,PCV15 vs PCV13
19A,6898.94929450793,4.170575084805389e-4,0.012039502008032757,-0.023180366427263666,0.02401448144422474,PCV15 vs PCV13
4,349.71841709154893,0.009772582478848234,0.05347376313598856,-0.09503599326768936,0.11458115822538581,PCV20 vs PCV13
6B,281.8378460562089,0,0.059566261596859495,-0.1167498727298446,0.1167498727298446,PCV20 vs PCV13
9V,1790.7495529595171,0,0.023631025797147806,-0.0463168105624097,0.0463168105624097,PCV20 vs PCV13
14,1124.5453048264496,0.023581607230815173,0.029820266589610338,-0.034866115284821086,0.08202932974645144,PCV20 vs PCV13
18C,341.63631657301295,0.037016320178348376,0.054102581087171975,-0.0690247387525087,0.14305737910920543,PCV20 vs PCV13
19F,3356.133148939681,0,0.01726157457183057,-0.03383268616078792,0.03383268616078792,PCV20 vs PCV13
23F,447.69227265978026,0.011267965741170527,0.04726179377397,-0.08136515005581067,0.10390108153815174,PCV20 vs PCV13
1,248.36853009128447,0.010542708018429707,0.06345293520346454,-0.11382504498036078,0.1349104610172202,PCV20 vs PCV13
3,1914.2451815278641,0,0.02285605217203981,-0.04479786225719803,0.04479786225719803,PCV20 vs PCV13
5,601.715165837662,0,0.04076660272468092,-0.0799025413403746,0.0799025413403746,PCV20 vs PCV13
6A,288.3573146670672,0.1163508339263519,0.058889045312222034,9.283051143967186e-4,0.23177336273830706,PCV20 vs PCV13
7F,465.36567411691624,0.026771050405987346,0.04635566620391981,-0.06408605535369548,0.11762815616567017,PCV20 vs PCV13
19A,7320.353553554121,2.0038548984763617e-5,0.011687832299515416,-0.022888112758065453,0.02292818985603498,PCV20 vs PCV13
